from,to,share
BEL,DJI,0.07490673386518824
USA,DMA,0.4858048153945612
FRA,DMA,0.1648088583278711
GBR,DMA,0.13020841769156616
VIR,DMA,0.056601298596733005
ATG,DMA,0.054437562573243545
GRL,DNK,0.18314219681342056
SWE,DNK,0.12805940934153975
GBR,DNK,0.10318245281456916
USA,DNK,0.10215159812257314
NOR,DNK,0.08249021103978005
USA,DOM,0.740216160291442
ESP,DOM,0.10894413711660514
ITA,DOM,0.028779945137237587
PRI,DOM,0.025984235372960598
CHL,DOM,0.020564785835357334
FRA,DZA,0.8224253211253574
CAN,DZA,0.03492148435575917
ESP,DZA,0.02966774224541534
USA,ECU,0.4132913113405073
ESP,ECU,0.3632477746649667
ITA,ECU,0.06854323059389743
CHL,ECU,0.033517227941225906
VEN,ECU,0.02460370483353069
SAU,EGY,0.2585591673356538
ARE,EGY,0.25706297043736825
KWT,EGY,0.11750181665089492
USA,EGY,0.058386835578324234
QAT,EGY,0.056239470991398734
FRA,ESP,0.17791341906280067
DEU,ESP,0.12350233061512907
GBR,ESP,0.10411651906093662
USA,ESP,0.07887881255332611
ARG,ESP,0.06264206388047658
RUS,EST,0.2807282577189252
FIN,EST,0.23147898187903365
USA,EST,0.08112405588783336
GBR,EST,0.06323840626623943
DEU,EST,0.059526030879479004
USA,ETH,0.33220623230551916
SAU,ETH,0.17518113612555652
ISR,ETH,0.09024721459808266
CAN,ETH,0.03900449363323248
SDN,ETH,0.03712461173921041
SWE,FIN,0.45904078616647687
USA,FIN,0.10819393496135393
GBR,FIN,0.06980437849961064
DEU,FIN,0.06058811027047897
ESP,FIN,0.053293194728594596
AUS,FJI,0.3514351083391682
NZL,FJI,0.27505446167221964
USA,FJI,0.21616889192965294
CAN,FJI,0.11539779908920991
GBR,FJI,0.02755923653056859
ESP,FRA,0.09631826054425832
BEL,FRA,0.08766500745279247
USA,FRA,0.08490843514669887
CHE,FRA,0.08416893613574637
GBR,FRA,0.07683008398887557
FRA,GAB,0.5800476048175442
MLI,GAB,0.21539990149528315
COG,GAB,0.048790011581213266
