source,target,v
36,48,1234820.671
76,48,1186872.4339999994
699,48,829889.97
392,48,736909.4069999995
276,48,526457.088999999
251,48,517480.9080000003
156,50,22897406.52400004
699,50,11252525.166999986
360,50,3577789.273000001
702,50,3101830.6040000003
458,50,2452620.071999999
842,50,2206076.424000004
76,50,2105984.3060000013
634,50,1835082.378
392,50,1664933.3380000005
784,50,1278452.2070000002
643,51,3879597.235000007
156,51,1510164.7719999985
704,51,815197.1449999998
364,51,597232.7889999998
276,51,595631.294
784,51,418021.8100000006
842,51,397557.45100000035
380,51,375054.5479999997
792,51,280602.2959999997
392,51,222810.8950000001
842,52,650437.7609999998
156,52,150919.64999999985
826,52,123884.48399999987
392,52,113610.91799999998
124,52,32310.05599999997
528,52,31356.129000000023
388,52,27841.595999999994
76,52,26312.46500000002
276,52,22827.481
764,52,22360.02799999999
528,56,93044185.55299987
276,56,61927060.66899993
251,56,50738162.04599991
842,56,34892247.52199997
156,56,22705460.020999976
826,56,20353064.808000013
380,56,20334683.448999986
372,56,19027308.939000044
724,56,14509696.597000007
579,56,9805217.081
842,60,489757.4820000003
196,60,402956.25700000004
826,60,77324.8389999999
156,60,77104.963
124,60,53174.57300000004
276,60,49311.2
300,60,23729.95600000001
752,60,19680.178
392,60,12306.942000000003
380,60,10517.440999999999
699,64,979503.7100000042
702,64,95534.41200000007
156,64,57079.36299999992
764,64,18712.98699999999
360,64,8484.578
344,64,5142.3470000000025
784,64,4698.461000000002
276,64,4626.924999999998
842,64,3366.0460000000007
76,64,3341.419000000001
156,68,2195921.628999998
76,68,1808759.270000001
152,68,1426679.9460000033
32,68,1085402.9450000017
842,68,692435.7029999994
604,68,537081.0299999998
484,68,244580.3250000002
392,68,230814.236
699,68,170528.723
56,68,164897.87800000026
688,70,2070036.549000001
276,70,1570760.187999999
191,70,1491398.1499999953
156,70,1354579.1299999978
380,70,1323627.861
792,70,783042.5700000008
705,70,765071.8530000002
40,70,628326.0499999995
616,70,481394.6939999998
842,70,427998.353999999
710,72,4251464.33799999
516,72,516460.4449999993
124,72,302192.8289999999
156,72,238011.48299999972
699,72,171184.4300000002
894,72,138693.46499999997
51,72,114198.867
276,72,103968.91399999992
508,72,98677.077
842,72,85549.20200000009
156,76,57608159.506999984
842,76,39662169.68199993
276,76,13776225.651000049
32,76,12419263.153000005
643,76,11134261.883999985
699,76,7115320.369000013
380,76,5768572.440000008
484,76,5715841.914
251,76,5389318.896000001
410,76,5050818.380999997
842,84,652928.1429999989
156,84,267764.35000000027
320,84,170274.76500000036
484,84,134835.93300000002
188,84,95636.75700000001
392,84,29203.540000000008
276,84,24681.73
780,84,22009.30999999999
76,84,20042.681000000026
222,84,19411.76000000001
300,86,38549.812
702,86,28307.201999999997
842,86,2928.5259999999994
591,86,1530.934
784,86,1232.938
792,86,249.49599999999998
757,86,203.599
76,86,118.976
458,86,117.409
826,86,80.171
156,90,230508.57600000003
702,90,73806.776
36,90,71290.288
490,90,27922.84999999999
458,90,25345.31300000001
554,90,23806.338000000007
392,90,19040.844000000005
360,90,18019.01999999999
764,90,15117.579000000002
242,90,12325.162999999991
842,92,291553.6289999999
380,92,83213.80099999998
251,92,73489.53100000002
156,92,72196.39900000003
442,92,39762.766
757,92,36186.72799999999
208,92,36091.15700000001
710,92,35656.736999999994
40,92,31329.287999999997
792,92,26269.460999999992
458,96,1910309.2559999987
156,96,890318.7100000014
784,96,824934.784999999
826,96,812400.8399999993
702,96,505404.75400000054
398,96,501939.286
36,96,490768.08099999966
634,96,466292.104
682,96,280329.204
360,96,266225.7880000001
276,100,6145195.116999999
792,100,4439738.537000007
642,100,4103263.7919999994
643,100,3507514.300999999
380,100,3312181.096000008
156,100,2941332.163000001
300,100,2434398.0949999965
528,100,2078989.056999987
616,100,1960372.9820000045
348,100,1864122.7100000014
156,104,10284362.468000013
764,104,4408934.555999992
702,104,3393996.5200000033
458,104,1513065.8970000003
634,104,897106.054
360,104,862633.9900000003
699,104,645311.4030000006
410,104,553434.1849999996
392,104,419943.4319999999
704,104,293348.41400000016
834,108,172326.1369999998
156,108,103878.65099999994
800,108,69996.81499999993
404,108,68639.94899999995
699,108,40477.11300000001
784,108,37089.915
56,108,31362.361000000008
894,108,23281.833
251,108,14328.355999999998
818,108,12988.275
156,112,5816692.485999998
276,112,2045468.7920000004
440,112,1838865.3149999985
792,112,1683611.7609999971
784,112,588785.4070000012
380,112,322200.35099999985
428,112,185320.54900000003
528,112,181502.2380000002
203,112,156105.3250000001
398,112,153072.727
156,116,11653608.954999963
764,116,6393549.026000016
704,116,3612151.3529999983
702,116,1997931.1550000005
360,116,962753.4260000009
490,116,638412.5170000001
458,116,619000.2709999996
344,116,563280.9940000002
392,116,556955.6679999996
410,116,470088.31600000017
156,120,3713986.467000004
251,120,561165.9739999999
699,120,480896.6059999996
56,120,329712.8169999999
784,120,320625.29099999956
276,120,208952.06600000014
