iso,longitude,latitude,size
ABW,-69.97564014284046,12.515625722992898,35975634.76929376
AFG,66.59216131095278,34.13402601376932,300000000
AGO,17.651768783079,-12.167424062667942,12631149.319774304
ALB,20.061082767269493,41.14165894891656,1718320554.367247
ARE,54.27920525789581,24.18250292309135,NA
ARG,-64.53238503843076,-35.697270518120085,911591594.0923837
ARM,45.05490831965259,40.17841274230679,1610171648.7374012
ASM,-170.7007316174498,-14.305711987770538,NA
ATG,-61.78530823226373,17.07146759372967,50142028.447479345
AUS,134.02277170916162,-25.69733767398308,922279965.0201417
AUT,13.797778364631036,47.631858269895794,3167048409.0909085
AZE,48.63459267064432,40.3920509942049,1526635999.9999998
BDI,29.88518227845293,-3.261251993278643,47999999.99999997
BEL,4.675010154696485,50.6182138854095,15883123728.57143
BEN,2.305714528830206,9.503013199615893,204285895.60279813
BFA,-1.6932816211842323,12.108709036312735,560550000.0000004
BGD,90.43212562608612,23.673728665121,22202917783.868633
BGR,25.251739122561908,42.82043677302438,786060000.0000001
BHR,50.540695402276775,26.04798501537066,NA
BIH,17.83467240787538,44.14415356126429,2374467959.4508553
BLR,27.964252054715104,53.46791374543163,1136746555.66
BLZ,-88.68273510023441,17.24252476647155,135359896.99717805
BMU,-64.7458500599169,32.315067430740726,1574100922.762005
BOL,-64.45209597511206,-16.7312488393574,1417100383.199179
BRA,-54.355206608256424,-11.524630416426652,4102018147.700001
BRB,-59.557383949150285,13.183219369337529,NA
BRN,114.6430958360464,4.543205889917609,NA
BTN,90.4671664717386,27.42163933959824,57687180.00000001
BWA,23.85779956995608,-22.236609002062902,57629183.974567816
CAN,-98.41680517868062,57.55048004465563,806391718.4295878
CHE,8.286928794895285,46.73678128684938,3019222345.768392
CHL,-70.76863431739216,-37.82938283049967,76094074.25567254
CHN,104.69113855849604,38.07325481105728,52999999999.99998
CIV,-5.571710194917734,7.536779279421307,347999999.9999999
CMR,12.948474142398265,6.294168487480992,350198975.6765322
COD,23.419827574282188,-3.338629596207896,1330881114.0875828
COG,14.879732849491392,-0.7294391595233845,NA
COL,-72.6445066243485,4.187753877352739,8608268970.885418
COM,43.34826587429403,-11.658861474508493,243330000
CPV,-23.63401005900474,15.076411518651645,312105152.9649155
CRI,-84.14673625701816,9.863467407406214,594125601.6811676
CUW,-68.96939768599042,12.199996647939832,NA
CYM,-81.25203208977878,19.311231805620288,14000000.000000002
CYP,33.375346009199205,35.11700416345239,665581076.7701687
CZE,15.383273292023532,49.74917370930982,4386865792.787088
DEU,10.426171427430804,51.08304539800482,20411777594.011547
DJI,42.613496898789506,11.750235727618804,65000000.00000002
DMA,-61.360471946942994,15.429269860940511,57534905.0657401
DNK,9.378670542409406,56.00118817971057,1492206790.2590811
DOM,-70.43495198520012,18.77954818522993,10742799999.999998
DZA,2.6558464719769135,28.350969744889056,1759095247.3370802
ECU,-78.4630326109714,-1.5642721388853116,4367441780.588136
EGY,30.240135435012338,26.60517034450628,31487000000
ESP,-3.6516251409956983,40.36500833668384,8999999999.999996
EST,25.916870250633806,58.648108311231034,580277275.8184702
ETH,39.91490288654427,8.729389557048396,436415385.48254275
FIN,25.65738433454702,65.01578959749911,842476902.4531016
FJI,177.98144613732626,-17.822470952336204,483750448.0265178
FRA,2.1940236627886227,46.6423682169416,32077312215.223625
FSM,158.2291899444527,6.8789448129255435,NA
GAB,11.839410898545754,-0.628448459921234,13999999.999999996
GBR,-2.852943909329258,53.97844735080214,3522943789.5872374
GEO,43.378866534112234,42.17986277737226,2643926171.81
GHA,-1.219233362526581,7.94530467243628,4506554640.585345
GIN,-10.986948848040218,10.255986541378112,343910000.0000001
GMB,-15.383380385869662,13.428617959189328,547051423.8019669
GNB,-14.980186756910848,11.980075324820504,177999999.99999994
GNQ,10.425456672353825,1.595464393659073,NA
GRC,23.110368936161876,39.42012261727978,688866261.6235054
GRD,-61.67937937204098,12.112926656338908,73965777.36712633
GRL,-42.07567788066985,74.16847218965994,NA
GTM,-90.31219349119615,15.820878515352684,15395390250.000004
GUM,144.78024458298802,13.445430479945276,NA
GUY,-58.91352612754667,4.68211981385056,392628499.9999999
HKG,114.1751,22.3753,460825150.4481003
HND,-86.49251679006962,14.740370695750006,7203426672.830167
HRV,16.625761129583374,44.91192100856702,5044681501.030748
HTI,-72.89291379842,18.883520486983567,4196393882.9696507
HUN,19.39620048366142,47.22527332486294,3486769080.764683
IDN,113.96538246847302,0.15591979959037652,9402427088.854849
IND,81.17300408530181,23.58630056774672,89375152217.56573
IRL,-8.241128545554096,53.30489539816495,179854619.6248194
IRN,54.23707700106544,32.906023742890056,NA
IRQ,43.83252918105688,33.105075667527906,599999999.9999999
ISL,-19.05682967106099,65.12360920205514,190255250.13008228
ISR,35.027923472437024,31.513542220043195,7700999999.999998
ITA,12.763657166123137,42.98201127614267,10258423410.750359
JAM,-77.30358894542778,18.12207889341651,3706698183.251931
JOR,36.95728884547246,31.387064884449156,5162253521.126759
JPN,137.46934234351835,36.76738832597829,5290974223.44138
KAZ,66.3759193479301,47.641465195176835,310158546.35080904
KEN,37.95309411262371,0.6899182318376179,3770089638.547689
KGZ,74.17532903468319,41.35698905438358,2792498249.117935
KHM,105.039730786807,12.699186865507777,1153438268.7215989
KIR,-157.39024189323504,1.8676673749241064,15000000.000000002
KNA,-62.74560385895787,17.314736299587768,37175786.73795304
KOR,127.76224551357647,36.402386712544114,7704199999.999999
KWT,47.56311109320184,29.281360965443092,23000000.000000004
LAO,103.76375899026448,18.11728273687328,224442521.23713097
LBN,35.89651946324749,33.91160170722086,6393530000.000004
LBR,-9.258988935497618,6.52012979398834,338065838.33207166
LBY,17.91133392454237,27.20291577169079,NA
LCA,-60.9689510935251,13.895749185129906,62596604.870968916
LIE,9.547674672376376,47.14627562133036,NA
LKA,80.66931169770622,7.696630939329944,5522000000.000004
LSO,28.24475317864227,-29.60168116924817,499174871.59884495
LTU,23.946021605013534,55.29437393417175,778077399.7683985
LUX,6.103230338458876,49.77523454542369,2273397812.1352873
LVA,24.693671325654403,56.813853047554154,1317404608.008659
MAC,113.5132,22.1261,19000000
MAR,-8.817212587250811,28.687598134979325,10704830037.89597
MDA,28.391111865941348,47.0725674580696,2084629999.9999998
MDG,46.68493466832544,-19.04163612493041,614639479.6128795
MDV,73.10076245140479,-0.6065577168009924,4882675.07209389
MEX,-101.55399731630118,23.87436068093592,54130111444.99997
MHL,168.72016025351076,7.307929900994344,31000000
MKD,21.70998923872772,41.59402890143112,489429713.24220526
MLI,-4.346399841781153,17.168146208584837,1053000000.0000005
MLT,14.441922442508494,35.890522650899314,284346854.9490617
MMR,97.08892285397344,19.901227931399873,1999999999.999999
MNE,19.29505087156758,42.73694835210454,793592465.4807863
MNG,103.3987360327455,47.08644454604851,534999999.9999999
MNP,145.74119737203134,15.178063516432116,NA
MOZ,35.208577031290176,-17.525230309488748,453972065.822953
MRT,-10.495079045035716,20.466731212820022,168700000.00000003
MUS,57.56415671066546,-20.28142317475198,272474595.80830663
MWI,34.23441182298881,-13.128986464184024,258855610.42837745
MYS,114.63330303992868,3.6716608556387857,1565248399.6894047
NAM,18.16451345845268,-21.90858163281473,46483320.87263875
NCL,165.50767040438612,-21.33003372660827,NA
NER,8.86863247002646,17.08105392407292,541700000.0000001
NGA,8.147714845256194,9.61029352034213,19483402058.910625
NIC,-85.016088327669,12.893566631930554,2150900000.0000014
NLD,5.554136426128487,52.134054128923886,2370476002.6695504
NOR,16.670259272390894,64.97775882947745,671784643.4833676
NPL,84.1338898313567,28.300920699755657,8203258737.057744
NZL,170.69035541428696,-43.82765432544426,16974931.735186227
OMN,55.841088119829,20.7242833183209,39000000.00000001
PAK,69.08835090769651,30.11618837141088,31312000000.000004
PAN,-80.14428761482796,8.439536749576892,567684744.27
PER,-74.11416196781884,-8.522717984240291,3591690872.9545097
PHL,121.82208941416744,15.586542251094242,36685313168.048004
PLW,134.57965086721052,7.534775852547396,2000000
PNG,144.8348942994695,-7.156912819152135,1999999.9999999995
POL,19.43573279234468,52.06848055692473,7131000000.000003
PRI,-66.49425339593509,18.21622408661091,NA
PRT,-7.933662183874006,39.67529214702138,5127640512.906895
PRY,-58.38906357428651,-23.42190559259428,585384046.2083087
PSE,35.24251184154588,31.930818736453883,3393364900.4079037
QAT,51.19794918743203,25.318528486425382,858791208.7912089
ROU,25.094158201563292,45.82454894397586,9159745932.68423
RUS,98.6704990698032,59.039434214106194,9646920000
RWA,29.91943968176408,-2.014687460047154,391212999.9999998
SAU,44.6009581782256,24.136038144757897,294914319.73333335
SDN,29.951458283594064,15.67060230984256,1125590000
SEN,-14.610875368352303,14.228861491763402,2657500000.0000005
SGP,103.81025757634052,1.3528251890006349,NA
SLB,160.16475795033884,-9.613104734596517,51031663.59579608
SLE,-11.78656695731115,8.561330384750587,179637999.99999994
SLV,-88.85911489238985,13.758041517055418,7488469373.287665
SOM,45.40037867243972,6.524534573103924,1734999999.9999998
SRB,20.85677444395745,44.02679870131969,4597739283.383719
SSD,30.3851856901788,7.657782041763295,1236000000.0000005
STP,6.606158796857607,0.22744704294793777,10591491.638343088
SUR,-55.855514311561286,4.098723595920171,147616111.51876664
SVK,19.58101536249097,48.69808390520484,2235476816.1445174
SVN,14.89063689997378,46.13759229564504,747297058.3463197
SWE,17.062431988004956,62.73420986108448,3336408801.1196575
SWZ,31.510685746082007,-26.562540935608705,132168224.6354912
SXM,-63.06883135915303,18.03942608463078,NA
SYC,55.47250789595527,-4.660002318822744,9524809.145481845
SYR,38.5117323139514,35.09751106058316,NA
TCD,18.427113900363025,15.283493546654505,NA
TGO,0.8990857571109684,8.660743037717811,674000000.0000001
THA,101.08675116214552,13.66222784745538,9065391617.754671
TJK,70.94215281065698,38.56933138382972,2921713106.977001
TKM,58.4577357627054,39.06069118001429,1150000
TLS,125.9502404956266,-8.809894630601962,168614879.68123513
TON,-175.20415878511247,-21.15927212823853,213494579.82873034
TTO,-61.37236579976247,10.415515638298093,233446026.04451817
TUN,9.65587551697984,34.08636179565723,2194500000
TUR,35.56886764076691,38.93207363123396,705000000.0000005
TZA,34.81832206060381,-6.355794440041147,569400000.0000001
UGA,32.34371768463123,1.2821729218416205,1082740000.0000002
UKR,31.27377208442636,48.657532515563794,18060000000
URY,-56.01919523458085,-32.78195043831093,125733415.1960748
USA,-96.3316166082964,38.8208089190304,6898999999.999997
UZB,63.8548297593985,41.4879065244633,9197526464.525383
VCT,-61.193766354393034,13.254808122970651,85861678.23436168
VEN,-66.36492135985132,7.148324760507107,NA
VIR,-64.76155341409797,17.738009708772523,NA
VNM,105.91338832758704,16.517347170839393,18060000000.000004
VUT,166.84912735669738,-15.189132121699332,169012066.17499942
WSM,-172.44107655740137,-13.634252953274622,248442933.24033839
XKX,20.9154,42.5303,1689313356.8752732
YEM,47.46815793206386,16.001392616307445,NA
ZAF,24.75252746489084,-28.55361930679731,926650843.6532923
ZMB,27.75521363430896,-13.162832953186246,241688413.15326792
ZWE,29.717829640720844,-18.92700121981475,1981999999.9999998
