iso,name,longitude,latitude,metric,size,label_l,label_r
ARG,Argentina,-64.53238503843076,-35.697270518120085,pgdp,0.0018683885802211304,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">0.1% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Spain (28% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. United States (19% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Chile (7% of total)</p>"
ARM,Armenia,45.05490831965259,40.17841274230679,dollar,1610171648.7374012,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 2 billion</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Russian Federation - USD 990 million (61%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. United States - USD 198 million (12%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Ukraine - USD 82 million (5%)"
ARM,Armenia,45.05490831965259,40.17841274230679,pgdp,0.11601572513995521,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">9% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Russian Federation (61% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. United States (12% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Ukraine (5% of total)</p>"
ASM,American Samoa,-170.7007316174498,-14.305711987770538,dollar,NA,NA,NA
ASM,American Samoa,-170.7007316174498,-14.305711987770538,pgdp,NA,NA,NA
ATG,Antigua and Barbuda,-61.78530823226373,17.07146759372967,dollar,50142028.447479345,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 50 million</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. United States - USD 36 million (71%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. United Kingdom - USD 4 million (9%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Virgin Islands (U.S.) - USD 3 million (6%)"
ATG,Antigua and Barbuda,-61.78530823226373,17.07146759372967,pgdp,0.031312022094135784,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">3% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. United States (71% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. United Kingdom (9% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Virgin Islands (U.S.) (6% of total)</p>"
AUS,Australia,134.02277170916162,-25.69733767398308,dollar,922279965.0201417,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 922 million</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. United Kingdom - USD 235 million (26%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. United States - USD 150 million (16%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. New Zealand - USD 130 million (14%)"
AUS,Australia,134.02277170916162,-25.69733767398308,pgdp,5.915715174876989e-4,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">0.03% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. United Kingdom (26% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. United States (16% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. New Zealand (14% of total)</p>"
AUT,Austria,13.797778364631036,47.631858269895794,dollar,3167048409.0909085,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 3 billion</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Germany - USD 1 billion (37%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Switzerland - USD 373 million (12%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. United States - USD 266 million (8%)"
AUT,Austria,13.797778364631036,47.631858269895794,pgdp,0.006607717610575655,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">0.4% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Germany (37% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Switzerland (12% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. United States (8% of total)</p>"
AZE,Azerbaijan,48.63459267064432,40.3920509942049,dollar,1526635999.9999998,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 2 billion</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Russian Federation - USD 1 billion (66%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Turkey - USD 127 million (8%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Ukraine - USD 100 million (7%)"
AZE,Azerbaijan,48.63459267064432,40.3920509942049,pgdp,0.027845408741330766,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">2% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Russian Federation (66% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Turkey (8% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Ukraine (7% of total)</p>"
