id,country,lon,lat,v
4,Afghanistan,66.5921613109527,34.1340260137693,6236361.563
8,Albania,20.0610827672694,41.1416589489165,6358160.3510000035
12,Algeria,2.65584647197691,28.350969744889,28323285.68100001
16,American Samoa,-170.700731617449,-14.3057119877705,163975.14100000003
20,Andorra,1.58022436112328,42.5485983485476,1838718.6679999984
24,Angola,17.651768783079,-12.1674240626679,9282036.377999997
28,Antigua and Barbuda,-61.7853082322637,17.0714675937296,1192692.5320000004
31,Azerbaijan,48.6345926706443,40.3920509942049,12823239.968000006
32,Argentina,-64.5323850384307,-35.69727051812,51228297.56400001
36,Australia,134.022771709161,-25.697337673983,204994438.7500001
40,Austria,13.797778364631,47.6318582698957,159610372.3740001
44,Bahamas,-78.0727537006031,24.7216263364678,7634871.421000008
48,Bahrain,50.5406954022767,26.0479850153706,13237995.997999998
50,Bangladesh,90.4321256260861,23.673728665121,52372700.293000035
51,Armenia,45.0549083196525,40.1784127423067,9091870.235000005
52,Barbados,-59.5573839491502,13.1832193693375,1201860.567999999
56,Belgium,4.67501015469648,50.6182138854095,347337086.6849997
60,Bermuda,-64.7458500599169,32.3150674307407,1215863.8310000005
64,Bhutan,90.4671664717386,27.4216393395982,1180490.248000004
68,Bolivia,-64.452095975112,-16.7312488393574,8557101.685000004
70,Bosnia Herzegovina,17.8346724078753,44.1441535612642,10896235.39899999
72,Botswana,23.857799569956,-22.2366090020629,6020401.04999999
76,Brazil,-54.3552066082564,-11.5246304164266,163639951.87699997
84,Belize,-88.6827351002344,17.2425247664715,1436788.9689999996
86,British Indian Ocean Territory,72.4350161847601,-7.32354844438574,73319.06299999998
90,Solomon Islands,160.164757950338,-9.61310473459651,517182.74700000003
92,British Virgin Islands,-64.6240651925769,18.421958196197,725749.4969999999
96,Brunei Darussalam,114.643095836046,4.5432058899176,6948922.807999998
100,Bulgaria,25.2517391225619,42.8204367730243,32787107.850000005
104,Myanmar,97.0889228539734,19.9012279313998,23272136.91900001
108,Burundi,29.8851822784529,-3.26125199327864,574369.4049999998
112,Belarus,27.9642520547151,53.4679137454316,12971624.950999996
116,Cambodia,105.039730786807,12.6991868655077,27467731.680999972
120,Cameroon,12.9484741423982,6.29416848748099,6369752.792000003
124,Canada,-98.4168051786806,57.5504800446556,465294446.4890004
132,Cabo Verde,-23.6340100590047,15.0764115186516,810422.149000002
136,Cayman Islands,-81.2520320897787,19.3112318056202,3150255.7739999965
140,Central African Republic,20.5207434193972,6.33139003394431,282676.29699999996
144,Sri Lanka,80.6693116977062,7.69663093932994,12358970.042000018
148,Chad,18.427113900363,15.2834935466545,1153395.4419999998
152,Chile,-70.7686343173921,-37.8293828304996,63147298.305000015
156,China,104.691138558496,38.0732548110572,1161669768.7470007
162,Christmas Island,105.702095122005,-10.4464408021834,84421.17099999991
166,Cocos Isds,96.83688767323,-12.1712494501995,12720.888000000008
